Date,Estimated Price
2021-03-18,10.434476237744093
2021-03-19,10.434810478240252
2021-03-20,10.43515832349658
2021-03-21,10.435519617050886
2021-03-22,10.435894344002008
2021-03-23,10.43628228455782
2021-03-24,10.436683405190706
2021-03-25,10.437097504734993
2021-03-26,10.437524572014809
2021-03-27,10.437964394688606
2021-03-28,10.43841689452529
2021-03-29,10.438881985843182
2021-03-30,10.43935952335596
2021-03-31,10.439849447458982
2021-04-01,10.440351579338312
2021-04-02,10.440865833312273
2021-04-03,10.441392097622156
2021-04-04,10.441930279135704
2021-04-05,10.442480254918337
2021-04-06,10.443041931837797
2021-04-07,10.443615168333054
2021-04-08,10.44419989734888
2021-04-09,10.444795981049538
2021-04-10,10.445403326302767
2021-04-11,10.446021866053343
2021-04-12,10.446651391685009
2021-04-13,10.447291910648346
2021-04-14,10.447943240404129
2021-04-15,10.448605351150036
2021-04-16,10.44927804172039
2021-04-17,10.449961308389902
2021-04-18,10.450654994696379
2021-04-19,10.451359007507563
2021-04-20,10.452073238790035
2021-04-21,10.45279760658741
2021-04-22,10.45353201776743
2021-04-23,10.45427630841732
2021-04-24,10.455030478537083
2021-04-25,10.455794360488653
2021-04-26,10.456567872315645
2021-04-27,10.457350943237543
2021-04-28,10.458143442869186
2021-04-29,10.458945319056511
2021-04-30,10.45975637435913
2021-05-01,10.460576612502337
2021-05-02,10.461405921727419
2021-05-03,10.46224419400096
2021-05-04,10.46309132501483
2021-05-05,10.463947214186192
2021-05-06,10.464811854064465
2021-05-07,10.465685032308102
2021-05-08,10.466566741466522
2021-05-09,10.467456847429276
2021-05-10,10.468355268239975
2021-05-11,10.469261959195137
2021-05-12,10.47017676755786
2021-05-13,10.471099596470594
2021-05-14,10.472030449658632
2021-05-15,10.472969129681587
2021-05-16,10.473915614187717
2021-05-17,10.474869817495346
2021-05-18,10.475831616669893
2021-05-19,10.476800922304392
2021-05-20,10.47777770459652
2021-05-21,10.478761836886406
2021-05-22,10.479753263294697
2021-05-23,10.48075183853507
2021-05-24,10.481757540255785
2021-05-25,10.482770297676325
2021-05-26,10.483789946883917
2021-05-27,10.48481647670269
2021-05-28,10.485849786549807
2021-05-29,10.48688979446888
2021-05-30,10.48793639242649
